URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37.0,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,75,35,0.36,0.12,12.73,0.3,5.21,12.73,283,955,2.61,1,5.671742808798647
38.0,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,74,38,0.32,0.21,6.76,0.25,2.8,6.76,134,534,2.46,7,4.854181558255897
39.0,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,67,41,0.24,0.13,9.57,0.28,3.94,9.57,226,804,2.73,3,5.409144893111639
40.0,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,62,31,0.33,0.16,6.47,0.24,2.68,6.47,144,589,2.51,17,4.805415617128464
41.0,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,27,0.39,0.12,9.41,0.27,3.87,9.41,194,715,2.54,16,5.0928994082840235
42.0,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,45,26,0.27,0.14,9.2,0.29,3.8,9.2,145,506,2.5,21,5.005695687550855
43.0,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,25,10,0.43,0.11,7.16,0.26,2.97,7.16,81,315,2.55,7,5.0550964187327825
45.0,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,32,13,0.42,0.16,8.2,0.2,3.36,8.2,57,287,2.33,2,4.825214899713467
46.0,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,71,34,0.35,0.12,11.25,0.24,4.6,11.25,219,900,2.53,11,4.943616029822927
47.0,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,44,62,-0.17,0.12,9.51,0.22,3.89,9.51,186,856,2.51,1,5.172752043596731
48.0,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,33,24,0.16,0.1,9.84,0.27,4.04,9.84,151,561,2.71,10,5.435897435897436
49.0,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,37,31,0.09,0.12,6.8,0.25,2.82,6.8,138,544,2.47,6,5.035655058043118
50.0,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,58,26,0.38,0.14,10.2,0.24,4.18,10.2,148,612,2.6,32,4.820450395617772
51.0,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,63,20,0.52,0.13,8.04,0.28,3.33,8.04,182,643,2.58,11,5.13407455853499
52.0,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,25,0,1.0,0.1,11.43,0.32,4.7,11.43,77,240,2.78,0,5.424849699398798
53.0,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,81,39,0.35,0.18,82.62,0.29,33.16,82.62,193,661,2.5,15,4.78742348358375
54.0,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,21,0,1.0,0.06,7.49,0.24,3.09,7.49,80,337,2.49,0,5.09261744966443
55.0,https://insights.blackcoffer.com/evolution-of-advertising-industry/,17,5,0.55,0.07,8.45,0.25,3.48,8.45,86,338,2.72,1,5.437945791726105
56.0,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0,3,-1.0,0.04,11.5,0.3,4.72,11.5,21,69,2.65,2,5.372781065088757
58.0,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,24,80,-0.54,0.17,11.35,0.25,4.64,11.35,154,624,2.45,2,5.098828696925329
59.0,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,16,16,0.0,0.11,10.54,0.28,4.33,10.54,83,295,2.49,4,4.949509116409537
60.0,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,55,43,0.12,0.13,6.72,0.17,2.76,6.72,128,732,2.52,10,4.848966613672496
61.0,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,40,4,0.82,0.15,6.93,0.3,2.89,6.93,88,298,2.62,4,5.128482972136223
